,group,names,scores,logfoldchanges,pvals,pvals_adj,cell_type,abs_logfoldchanges
17348,Ruxolitinib phosphate,HRAS,0.14702983,0.05049453,0.8831084785209216,0.9335360921075709,CD4 Effector Memory,0.05049453
17349,Ruxolitinib phosphate,TGFB3,0.14596584,0.18231995,0.883948356885557,0.9335360921075709,CD4 Effector Memory,0.18231995
17350,Ruxolitinib phosphate,PPARD,0.14572477,0.049519558,0.8841386599862029,0.9335360921075709,CD4 Effector Memory,0.049519558
17351,Ruxolitinib phosphate,ABCF1,0.14505148,-0.17649217,0.8846702316116107,0.9335360921075709,CD4 Effector Memory,0.17649217
17352,Ruxolitinib phosphate,MPC2,0.14449455,0.002266872,0.8851099659032244,0.9335360921075709,CD4 Effector Memory,0.002266872
17353,Ruxolitinib phosphate,GTF2A2,0.14306481,-0.22128443,0.8862389977399946,0.9335360921075709,CD4 Effector Memory,0.22128443
17354,Ruxolitinib phosphate,CCNB1,0.14064589,0.08365999,0.8881496868080231,0.9339146051675631,CD4 Effector Memory,0.08365999
17355,Ruxolitinib phosphate,MNAT1,0.11824396,0.007983328,0.9058743543595937,0.9488203863642625,CD4 Effector Memory,0.007983328
17356,Ruxolitinib phosphate,BCL7B,0.116756044,-0.19965476,0.9070533760010516,0.9488203863642625,CD4 Effector Memory,0.19965476
17357,Ruxolitinib phosphate,IER5,0.11303209,-0.18202934,0.9100051157056628,0.9494334136131871,CD4 Effector Memory,0.18202934
17358,Ruxolitinib phosphate,PLCB3,0.10730484,0.07483488,0.9145471444107822,0.9530296747045145,CD4 Effector Memory,0.07483488
17359,Ruxolitinib phosphate,NOD2,0.10668972,0.022082826,0.9150351361780886,0.9530296747045145,CD4 Effector Memory,0.022082826
17360,Ruxolitinib phosphate,IFRD2,0.09934987,-0.028838936,0.9208604846928734,0.9570623097040319,CD4 Effector Memory,0.028838936
17361,Ruxolitinib phosphate,IL6R,0.09764583,0.09402326,0.9222135347347208,0.9570623097040319,CD4 Effector Memory,0.09402326
17362,Ruxolitinib phosphate,NSDHL,0.09480298,0.011065011,0.9244713174300574,0.9570623097040319,CD4 Effector Memory,0.011065011
17363,Ruxolitinib phosphate,FAH,0.091253586,0.14305323,0.9272910970980153,0.9577298053726165,CD4 Effector Memory,0.14305323
17364,Ruxolitinib phosphate,ATG5,0.08750469,-0.15419099,0.930270356751922,0.9597647896566531,CD4 Effector Memory,0.15419099
17365,Ruxolitinib phosphate,CLTC,0.08161119,0.075944915,0.9349558980836447,0.9621255566604343,CD4 Effector Memory,0.075944915
17366,Ruxolitinib phosphate,VSIR,0.07467865,-0.042197302,0.9404703953199086,0.9669738308840051,CD4 Effector Memory,0.042197302
17367,Ruxolitinib phosphate,MAP3K20,0.07309929,0.020978276,0.9417271045304302,0.9670128085787517,CD4 Effector Memory,0.020978276
17368,Ruxolitinib phosphate,ACAA1,0.07160306,-0.04040469,0.9429178050427363,0.9670128085787517,CD4 Effector Memory,0.04040469
17369,Ruxolitinib phosphate,PIK3AP1,0.0701567,0.07237732,0.9440689368305754,0.9673693616544788,CD4 Effector Memory,0.07237732
17370,Ruxolitinib phosphate,ACVR1B,0.060206752,0.040167827,0.9519909681864643,0.9726302476056629,CD4 Effector Memory,0.040167827
17371,Ruxolitinib phosphate,DCUN1D4,0.05452938,-0.07721581,0.9565134022633162,0.974316528193767,CD4 Effector Memory,0.07721581
17372,Ruxolitinib phosphate,CBR1,0.04029854,0.019429736,0.9678551168350684,0.9831228938452513,CD4 Effector Memory,0.019429736
17373,Ruxolitinib phosphate,LGALS3,0.039583676,-0.029966211,0.968425043272814,0.9831228938452513,CD4 Effector Memory,0.029966211
17374,Ruxolitinib phosphate,ALCAM,0.034745853,0.03962253,0.9722823964852404,0.9840904667419271,CD4 Effector Memory,0.03962253
17375,Ruxolitinib phosphate,FOXO4,0.033523932,-0.045114446,0.9732567825506397,0.9840904667419271,CD4 Effector Memory,0.045114446
17376,Ruxolitinib phosphate,CHEK1,0.03165364,0.042827886,0.9747482665993663,0.9840904667419271,CD4 Effector Memory,0.042827886
17377,Ruxolitinib phosphate,CHST10,0.031213082,0.027977785,0.975099606995946,0.9840904667419271,CD4 Effector Memory,0.027977785
17378,Ruxolitinib phosphate,PSMF1,0.016807683,-0.24908648,0.9865900401211194,0.9909772825871642,CD4 Effector Memory,0.24908648
17379,Ruxolitinib phosphate,FUT4,0.01665806,0.0047587566,0.9867094055274105,0.9909772825871642,CD4 Effector Memory,0.0047587566
