,,group,reference,name,stat,meanchange,pval,padj,cell_type
CD4 Naive,84,Erlotinib hydrochloride,DMSO control,Estrogen,49.858895858671595,0.6802755092616057,0.0,0.0,CD4 Naive
CD4 Naive,85,Erlotinib hydrochloride,DMSO control,EGFR,45.93865942909214,0.7048392992982078,0.0,0.0,CD4 Naive
CD4 Naive,86,Erlotinib hydrochloride,DMSO control,MAPK,43.102212696255116,0.6016408927951022,0.0,0.0,CD4 Naive
CD4 Naive,87,Erlotinib hydrochloride,DMSO control,JAK-STAT,41.38539614457169,0.6553528548419505,0.0,0.0,CD4 Naive
CD4 Naive,88,Erlotinib hydrochloride,DMSO control,Hypoxia,-38.471222026303174,-0.711496077362364,0.0,0.0,CD4 Naive
CD4 Naive,89,Erlotinib hydrochloride,DMSO control,PI3K,29.5405156791388,0.4527454004107694,8.693779699841038e-192,2.0285485966295757e-191,CD4 Naive
CD4 Naive,90,Erlotinib hydrochloride,DMSO control,Androgen,29.350706063195766,0.4128700773504921,2.3404517152091804e-189,4.680903430418361e-189,CD4 Naive
CD4 Naive,91,Erlotinib hydrochloride,DMSO control,VEGF,25.63535690830307,0.36082471556233253,6.1582753863448416e-145,1.0776981926103473e-144,CD4 Naive
CD4 Naive,92,Erlotinib hydrochloride,DMSO control,TGFb,17.67355382668679,0.17047986518787372,6.703750017802997e-70,1.0428055583249107e-69,CD4 Naive
CD4 Naive,93,Erlotinib hydrochloride,DMSO control,p53,-13.907679387672035,-0.17739911814280607,5.689564908483932e-44,7.965390871877504e-44,CD4 Naive
CD4 Naive,94,Erlotinib hydrochloride,DMSO control,WNT,-12.441059852464695,-0.107480629283208,1.5641458373272328e-35,1.9907310656892053e-35,CD4 Naive
CD4 Naive,95,Erlotinib hydrochloride,DMSO control,TNFa,-10.993166597823464,-0.16634841683976465,4.122052837568052e-28,4.809061643829394e-28,CD4 Naive
CD4 Naive,96,Erlotinib hydrochloride,DMSO control,Trail,-3.5860533768725977,-0.02870018867391777,0.0003357202707966208,0.0003615449070117455,CD4 Naive
CD4 Naive,97,Erlotinib hydrochloride,DMSO control,NFkB,-1.748322039869995,-0.02336148115588116,0.08040827891681297,0.08040827891681297,CD4 Naive
CD4 Naive,98,Erlotinib,DMSO control,Estrogen,48.00039460942633,0.6380944372632664,0.0,0.0,CD4 Naive
CD4 Naive,99,Erlotinib,DMSO control,JAK-STAT,47.380625137607545,0.742194700949606,0.0,0.0,CD4 Naive
CD4 Naive,100,Erlotinib,DMSO control,EGFR,43.47161391220041,0.6439427219281253,0.0,0.0,CD4 Naive
CD4 Naive,101,Erlotinib,DMSO control,MAPK,40.0575739112856,0.5446342607652357,0.0,0.0,CD4 Naive
CD4 Naive,102,Erlotinib,DMSO control,Hypoxia,-37.00968414272936,-0.6665938067002908,8.000211757996628e-300,2.2400592922390556e-299,CD4 Naive
CD4 Naive,103,Erlotinib,DMSO control,Androgen,32.33044855524298,0.45029924107844455,2.612425659658321e-229,6.095659872536083e-229,CD4 Naive
