,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type,drug,comparison,gene_set
14,prerank,Cholesterol Homeostasis,0.5180212325175394,1.3389681652081087,0.12464985994397759,0.22936882675887024,0.914,15/20,32.06%,PLSCR1;ATF3;NFIL3;ACAT2;CXCL16;CLU;NSDHL;HMGCS1;TMEM97;LGMN;ALCAM;ALDOC;ATF5;EBP;HMGCR,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
15,prerank,KRAS Signaling Up,0.43726731871001034,1.2723865619945942,0.15483870967741936,0.320272706993345,0.972,12/37,16.03%,IRF8;CCND2;KIF5C;LY96;GLRX;IKZF1;PRDM1;TRIB2;F2RL1;FCER1G;ERO1A;ETS1,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
16,prerank,Estrogen Response Early,0.46097675501228463,1.2606339369194857,0.19640387275242047,0.32202366762967227,0.979,6/26,13.57%,FOS;MUC1;MYC;SH3BP5;BHLHE40;IL6ST,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
17,prerank,Estrogen Response Late,0.44203122700600994,1.219808749216612,0.20933521923620935,0.37938968823454083,0.994,2/27,0.40%,BATF;FOS,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
18,prerank,Glycolysis,0.42258472126666047,1.2150864474196945,0.1856368563685637,0.3671608847005047,0.995,15/37,27.78%,CDK1;DDIT4;GLRX;EXT1;ABCB6;NSDHL;MIF;ERO1A;GALE;FKBP4;SLC37A4;SPAG4;NASP;GNPDA1;GFPT1,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
19,prerank,Myogenesis,0.4870592131476883,1.1880202405281726,0.24553571428571427,0.39603859166449795,0.997,4/16,10.40%,NOTCH1;GAA;CLU;BHLHE40,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
20,prerank,Oxidative Phosphorylation,0.437514967119075,1.1754193275438334,0.24296296296296296,0.40054033287479396,0.998,10/24,31.83%,SLC25A4;SUPV3L1;ACAA1;CASP7;VDAC1;ATP6V1D;ETFB;ATP6V0B;GPI;CYCS,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
21,prerank,E2F Targets,0.366478717828119,1.1690117096342731,0.22208588957055214,0.39339466719843713,0.998,21/67,25.16%,CDK1;MTHFD2;MYC;RFC2;TFRC;TACC3;NOLC1;CKS2;TP53;JPT1;CDK4;CHEK1;CCP110;PCNA;CDKN1A;MCM6;PAICS;UNG;HELLS;MCM3;NASP,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
22,prerank,Allograft Rejection,0.35348301261736254,1.1542839805610288,0.22209165687426558,0.4025420646556671,0.998,23/83,17.14%,IL2RB;ICAM1;IRF8;DYRK3;SOCS1;FAS;CCND2;STAT1;TLR2;IRF7;IFNGR1;IL2RA;ITK;CD4;CD7;CD8A;CD80;STAT4;HIF1A;ETS1;IL15;ZAP70;TAP2,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
23,prerank,Complement,0.3563994679579754,1.1071204199431435,0.2952261306532663,0.47094781326294133,0.998,24/59,26.98%,PLSCR1;F5;IRF7;CASP10;CLU;CTSD;CSRP1;TIMP2;FCER1G;LAP3;IRF1;CEBPB;LAMP2;CD46;CASP7;DPP4;LGMN;PRCP;PSMB9;GATA3;GNAI2;LIPA;PRKCD;GZMK,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
24,prerank,Epithelial Mesenchymal Transition,-0.31902369586154955,-1.0337680742689774,0.3877551020408163,0.39228825661869715,0.964,7/23,10.00%,GPC1;ITGA5;ITGA2;ITGB1;NT5E;PLAUR;JUN,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
25,prerank,UV Response Dn,0.3755706357316254,1.0284614389375535,0.41225626740947074,0.603576607056549,1.0,3/27,2.06%,DUSP1;INPP4B;MYC,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
26,prerank,Myc Targets V1,0.3792171102816556,0.9981461033574106,0.45454545454545453,0.6403201958468344,1.0,12/24,32.22%,MYC;NOLC1;HSPD1;CDK4;PCNA;VDAC1;MCM6;C1QBP;HPRT1;CDK2;MCM2;RNPS1,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
27,prerank,heme Metabolism,0.3773616458343114,0.995604897209958,0.47293447293447294,0.6208457779264932,1.0,7/22,15.40%,TFRC;CAT;SLC25A37;ABCB6;HEBP1;SLC11A2;LAMP2,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
28,prerank,Mitotic Spindle,0.3488249807089825,0.9634393764533136,0.5222841225626741,0.6575082722980258,1.0,3/29,6.43%,CDK1;ECT2;NCK2,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
29,prerank,Apoptosis,0.29695176427383563,0.9343143136529457,0.5732009925558312,0.685898824763177,1.0,19/61,22.54%,FAS;CCND2;ATF3;IFNGR1;CASP8;CD69;GADD45A;CLU;TNFSF10;TIMP2;IRF1;BCL2L1;GADD45B;TAP1;CASP2;HSPB1;CASP7;CDKN1A;DNM1L,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
30,prerank,Pperoxisome,0.3500820949107478,0.8618471270229359,0.6858877086494689,0.7920771833289958,1.0,5/18,19.92%,CAT;SLC25A4;MVP;ACAA1;HRAS,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
31,prerank,Apical Junction,0.26735850418743357,0.7681169446521082,0.8155844155844156,0.9203268861978852,1.0,5/37,11.75%,ICAM1;CD274;MAPK11;HADH;RAC2,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
32,prerank,PI3K/AKT/mTOR  Signaling,0.257447588832137,0.7558649557923421,0.8392370572207084,0.90917435029929,1.0,9/39,21.35%,CDK1;DUSP3;STAT2;MYD88;RALB;CDK4;TNFRSF1A;HRAS;CDKN1A,CD4 Central Memory,Afatinib,Afatinib vs. DMSO control,Hallmark
